"MOVIEID","TITLE","YEAR","ADULT_FLAG","IMDBRATINGS","GROSS"
"tt7183578","Project Gutenberg",2018,"Adult",6.8,188116796
"tt7218518","Pad Man",2018,"Non-Adult",7.8,29045020
"tt7329656","47 Meters Down: Uncaged",2019,"Non-Adult",5,47582563
"tt7547410","Dora and the Lost City of Gold",2019,"Non-Adult",6.1,120597108
"tt7549996","Judy",2019,"Non-Adult",6.8,45701880
"tt0475290","Hail, Caesar!",2016,"Non-Adult",6.3,63647656
"tt0478970","Ant-Man",2015,"Non-Adult",7.2,519311965
"tt0490215","Silence",2016,"Adult",7.2,23834809
"tt0810819","The Danish Girl",2015,"Adult",7.1,64191523
"tt0837563","Pet Sematary",2019,"Adult",5.7,113118226
"tt10059518","Unhinged",2020,"Adult",6,44331465
"tt10065694","Antebellum",2020,"Adult",5.8,7792716
"tt1025100","Gemini Man",2019,"Non-Adult",5.7,173469516
"tt10288566","Another Round",2020,"Adult",7.7,12745392
"tt10362466","After We Collided",2020,"Adult",5.1,47990414
"tt1072748","Winchester",2018,"Non-Adult",5.5,44019588
"tt10773090","Sarileru Neekevvaru",2020,"Non-Adult",5.8,37389889
"tt1086064","Bill & Ted Face the Music",2020,"Non-Adult",5.9,6274027
"tt10886166","365 Days",2020,"Adult",3.3,9458590
"tt1124037","Free State of Jones",2016,"Adult",6.9,25035950
"tt1206885","Rambo: Last Blood",2019,"Adult",6.1,91490353
"tt1211837","Doctor Strange",2016,"Non-Adult",7.5,677718395
"tt1226837","Beautiful Boy",2018,"Adult",7.4,31711319
"tt12381488","Run",2020,"Non-Adult",4.6,5184368
"tt1285009","The Strangers: Prey at Night",2018,"Adult",5.3,31039126
"tt1289401","Ghostbusters",2016,"Non-Adult",6.8,229147509
"tt1298644","The Hustle",2019,"Non-Adult",5.5,97409779
"tt1308728","The Happytime Murders",2018,"Adult",5.5,27506452
"tt1485796","The Greatest Showman",2017,"Non-Adult",7.5,434993183
"tt1489887","Booksmart",2019,"Adult",7.1,24959607
"tt1536537","What Happened to Monday",2017,"Adult",6.8,27975429
"tt1540011","Blair Witch",2016,"Adult",5,45173154
"tt1617661","Jupiter Ascending",2015,"Non-Adult",5.3,184287723
"tt1620680","A Wrinkle in Time",2018,"Non-Adult",4.3,132675864
"tt1620981","The Addams Family",2019,"Non-Adult",5.9,203044905
"tt1655441","The Age of Adaline",2015,"Non-Adult",7.2,65663276
"tt1712261","Triple 9",2016,"Adult",6.3,23177948
"tt1727824","Bohemian Rhapsody",2018,"Non-Adult",7.9,903655259
"tt1730768","The Zookeeper's Wife",2017,"Non-Adult",7,26152835
"tt1754656","The Little Prince",2015,"Non-Adult",7.6,97571250
"tt1781922","No Escape",2015,"Adult",6.8,54418872
"tt1790809","Pirates of the Caribbean: Dead Men Tell No Tales",2017,"Non-Adult",6.5,794861794
"tt1825683","Black Panther",2018,"Non-Adult",7.3,1346913161
"tt1838556","Honest Thief",2020,"Non-Adult",6,31220247
"tt1935859","Miss Peregrine's Home for Peculiar Children",2016,"Non-Adult",6.7,296482446
"tt1961175","American Assassin",2017,"Adult",6.2,67234188
"tt1979376","Toy Story 4",2019,"Non-Adult",7.6,1073394593
"tt1979388","The Good Dinosaur",2015,"Non-Adult",6.7,332207671
"tt2005151","War Dogs",2016,"Adult",7.1,86434523
"tt2006295","The 33",2015,"Non-Adult",6.9,27972023
"tt2025690","The Finest Hours",2016,"Non-Adult",6.7,52099090
"tt2066051","Rocketman",2019,"Adult",7.3,195320400
"tt2072233","Sleepless",2017,"Adult",5.6,32917353
"tt2076298","Ip Man 4: The Finale",2019,"Non-Adult",7,176345966
"tt2080374","Steve Jobs",2015,"Adult",7.2,34441873
"tt2126357","Second Act",2018,"Non-Adult",5.8,72282227
"tt2140379","Self/less",2015,"Non-Adult",6.5,31807156
"tt2224026","Home",2015,"Non-Adult",6.5,386041607
"tt2226597","The Mountain Between Us",2017,"Non-Adult",6.4,62832209
"tt2277860","Finding Dory",2016,"Non-Adult",7.2,1028570889
"tt2380307","Coco",2017,"Non-Adult",8.4,807816196
"tt2395427","Avengers: Age of Ultron",2015,"Non-Adult",7.3,1402805868
"tt2452042","The Peanuts Movie",2015,"Non-Adult",7,246233113
