"MOVIEID","TITLE","YEAR","ADULT_FLAG","IMDBRATINGS","ROTTENTOMATOESRATINGS"
"tt2277860","Finding Dory",2016,"Non-Adult",72,81
"tt2291540","My Friend Dahmer",2017,"Adult",62,66
"tt2323912","Beast Mode",2020,"Adult",37,44
"tt2338424","Tumbledown",2015,"Adult",62,62
"tt2365580","Where'd You Go, Bernadette",2019,"Non-Adult",65,67
"tt2368254","A Private War",2018,"Adult",67,67
"tt2380307","Coco",2017,"Non-Adult",84,87
"tt2386237","Malevolent",2018,"Adult",49,60
"tt2386404","He Never Died",2015,"Adult",63,64
"tt2388771","Mowgli: Legend of the Jungle",2018,"Non-Adult",65,69
"tt2390335","The Bone Garden",2016,"Adult",32,38
"tt2395427","Avengers: Age of Ultron",2015,"Non-Adult",73,84
"tt2396589","Mudbound",2017,"Adult",74,91
"tt2401097","Tracers",2015,"Non-Adult",56,60
"tt2404465","Troop Zero",2019,"Non-Adult",69,64
"tt2417712","Goon: Last of the Enforcers",2017,"Adult",58,62
"tt2424988","Gabbar Is Back",2015,"Non-Adult",70,60
"tt2433040","Beyond the Mask",2015,"Non-Adult",51,51
"tt2452042","The Peanuts Movie",2015,"Non-Adult",70,72
"tt2452386","The Fundamentals of Caring",2016,"Adult",73,89
"tt2474932","Despite the Falling Snow",2016,"Non-Adult",58,56
"tt2477218","Field of Lost Shoes",2015,"Non-Adult",57,50
"tt2479478","The Ridiculous 6",2015,"Non-Adult",49,62
"tt2481498","Extremely Wicked, Shockingly Evil and Vile",2019,"Adult",67,74
"tt2499472","Point Blank",2019,"Adult",57,57
"tt2523832","A Girl Like Her",2015,"Non-Adult",70,63
"tt2538204","#Lucky Number",2015,"Non-Adult",50,46
"tt2543164","Arrival",2016,"Non-Adult",79,86
"tt2548396","The Cloverfield Paradox",2018,"Non-Adult",55,69
"tt2554274","Crimson Peak",2015,"Adult",65,75
"tt2566644","Seoul Searching",2015,"Adult",69,71
"tt2567026","Alice Through the Looking Glass",2016,"Non-Adult",62,73
"tt2582498","Sweet Virginia",2017,"Adult",62,64
"tt2582576","Sand Castle",2017,"Adult",63,69
"tt2582782","Hell or High Water",2016,"Adult",76,81
"tt2582784","Flower",2017,"Adult",60,62
"tt2586120","Racer and the Jailbird",2017,"Adult",63,57
"tt2597760","The Outcasts",2017,"Non-Adult",54,57
"tt2649554","Midnight Special",2016,"Non-Adult",66,73
"tt2652118","Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,"Non-Adult",61,64
"tt2660888","Star Trek Beyond",2016,"Non-Adult",70,80
"tt2702920","The Secret Garden",2020,"Non-Adult",56,60
"tt2713980","Olympia",2018,"Non-Adult",77,46
"tt2718440","Moonwalkers",2015,"Adult",61,58
"tt2726552","A Kind of Murder",2016,"Adult",53,58
"tt2737304","Bird Box",2018,"Adult",66,86
"tt2752772","Sinister 2",2015,"Adult",53,64
"tt2782692","Ali's Wedding",2017,"Adult",69,74
"tt2788732","Pete's Dragon",2016,"Non-Adult",67,72
"tt2800050","A Beautiful Planet",2016,"Non-Adult",73,64
"tt2802136","Home Sweet Hell",2015,"Adult",55,60
"tt2806390","Milton's Secret",2016,"Non-Adult",59,49
"tt2865120","Ratchet & Clank",2016,"Non-Adult",55,63
"tt2866708","Strange But True",2019,"Non-Adult",59,58
"tt2884018","Macbeth",2015,"Adult",66,67
"tt2888046","Ip Man 3",2015,"Non-Adult",70,71
"tt2910904","The Dressmaker",2015,"Adult",70,72
"tt2931140","New Life",2016,"Non-Adult",62,48
"tt2932536","47 Meters Down",2017,"Non-Adult",56,69
"tt2933474","Superfast!",2015,"Non-Adult",42,57
"tt2936390","Battle Drone",2018,"Non-Adult",49,53
"tt2937366","Little Evil",2017,"Adult",57,62
"tt2938956","The Transporter Refueled",2015,"Non-Adult",52,64
"tt2948356","Zootopia",2016,"Non-Adult",80,85
"tt2948372","Soul",2020,"Non-Adult",80,89
"tt2948606","Assassin's Game",2015,"Adult",30,36
"tt2950052","Bravetown",2015,"Adult",61,57
"tt2950418","Greater",2016,"Non-Adult",73,65
"tt2962984","Girlfriend's Day",2017,"Adult",52,53
"tt2967226","Killing Hasselhoff",2017,"Adult",45,50
"tt2978102","Term Life",2016,"Adult",56,59
