"MOVIEID","TITLE","YEAR","ADULT_FLAG","IMDBRATINGS","ROTTENTOMATOESRATINGS"
"tt3661298","Septembers of Shiraz",2015,"Non-Adult",62,55
"tt3661394","The One and Only Ivan",2020,"Non-Adult",66,67
"tt3672120","Pottersville",2017,"Non-Adult",55,52
"tt3685236","Ibiza",2018,"Adult",52,67
"tt3687398","The Runner",2015,"Adult",47,54
"tt3691740","The BFG",2016,"Non-Adult",63,72
"tt3700364","Marshall's Miracle",2015,"Non-Adult",57,43
"tt3703836","Henry Gamble's Birthday Party",2015,"Adult",61,57
"tt3704416","Digging for Fire",2015,"Adult",58,58
"tt3707106","By the Sea",2015,"Adult",53,59
"tt3707114","Janis: Little Girl Blue",2015,"Adult",74,62
"tt3711510","The Warning",2018,"Adult",59,57
"tt3715320","Irrational Man",2015,"Adult",66,69
"tt3721964","Gringo",2018,"Adult",61,65
"tt3722070","The Lady in the Van",2015,"Non-Adult",67,68
"tt3722614","Revolt",2017,"Adult",53,59
"tt3727982","Ava's Possessions",2015,"Adult",56,55
"tt0069049","The Other Side of the Wind",2018,"Adult",67,61
"tt0315642","Wazir",2016,"Non-Adult",71,59
"tt0365545","Nappily Ever After",2018,"Adult",64,74
"tt0460890","The Only Living Boy in New York",2017,"Adult",64,63
"tt0462335","High-Rise",2015,"Adult",55,67
"tt0475290","Hail, Caesar!",2016,"Non-Adult",63,72
"tt0478970","Ant-Man",2015,"Non-Adult",72,84
"tt0490215","Silence",2016,"Adult",72,77
"tt0800325","The Dirt",2019,"Adult",70,79
"tt0810819","The Danish Girl",2015,"Adult",71,75
"tt0810836","Dirt Music",2019,"Non-Adult",54,48
"tt0825283","Maximum Ride",2016,"Non-Adult",36,50
"tt0837156","Pee-wee's Big Holiday",2016,"Non-Adult",61,73
"tt0837563","Pet Sematary",2019,"Adult",57,68
"tt10003978","Fiddler: A Miracle of Miracles",2019,"Non-Adult",76,51
"tt10011500","Slay the Dragon",2019,"Non-Adult",74,48
"tt1002563","The Young Messiah",2016,"Non-Adult",57,57
"tt10054316","Guest House",2020,"Adult",44,51
"tt10055028","Dolphin Reef",2018,"Non-Adult",74,48
"tt10059518","Unhinged",2020,"Adult",60,72
"tt10060094","The Knight Before Christmas",2019,"Non-Adult",56,60
"tt10065694","Antebellum",2020,"Adult",58,67
"tt10078900","Freej Al Taibeen",2018,"Non-Adult",54,32
"tt10091530","Holiday Rush",2019,"Non-Adult",50,48
"tt10092752","Earth and Blood",2020,"Adult",52,46
"tt10121762","Uriyadi 2",2019,"Non-Adult",70,49
"tt10127562","Dragon Quest: Your Story",2019,"Non-Adult",65,60
"tt10127684","Rogue City",2020,"Non-Adult",61,60
"tt10147546","Homecoming: A Film by Beyoncé",2019,"Non-Adult",76,71
"tt10156112","Hello, Love, Goodbye",2019,"Non-Adult",73,58
"tt10161886","The Prom",2020,"Non-Adult",59,65
"tt10165624","Christmas Coupon",2019,"Non-Adult",34,40
"tt10181594","Uncle Naji in UAE",2019,"Non-Adult",52,38
"tt10183816","Dangerous Lies",2020,"Non-Adult",54,60
"tt10199586","Atlantics",2019,"Non-Adult",67,79
"tt10199914","The Boys in the Band",2020,"Adult",68,64
"tt10229846","Rolling Stone: Life and Death of Brian Jones",2019,"Non-Adult",62,43
"tt10230422","Class of '83",2020,"Non-Adult",58,53
"tt10230436","Yeh Ballet",2020,"Non-Adult",75,53
"tt10230492","Still Today",2020,"Non-Adult",55,42
"tt10235600","Kaali Khuhi",2020,"Non-Adult",37,39
"tt10243992","I'm Your Woman",2020,"Adult",62,65
"tt1025100","Gemini Man",2019,"Non-Adult",57,73
"tt10253466","Badland",2019,"Non-Adult",56,54
"tt10255320","Deviant Love",2019,"Non-Adult",36,43
"tt10276114","Rapid Response",2019,"Non-Adult",81,46
"tt10276470","Work It",2020,"Non-Adult",61,62
"tt10288566","Another Round",2020,"Adult",77,80
"tt10288820","Chhota Bheem Kung Fu Dhamaka",2019,"Non-Adult",53,40
"tt10289996","The Black Godfather",2019,"Adult",75,57
"tt10303324","Survive the Night",2020,"Adult",40,54
"tt10307440","The Decline",2020,"Adult",60,58
"tt10308928","Force of Nature",2020,"Adult",46,58
"tt10324122","Secret Society of Second Born Royals",2020,"Non-Adult",51,60
"tt10324144","Article 15",2019,"Adult",81,92
"tt1034385","Cold Skin",2017,"Non-Adult",60,63
"tt1034415","Suspiria",2018,"Adult",67,73
"tt10350626","Gunjan Saxena: The Kargil Girl",2020,"Non-Adult",56,65
"tt10362466","After We Collided",2020,"Adult",51,68
"tt10394738","I Am Greta",2020,"Non-Adult",75,63
"tt10397734","The Set Up",2019,"Adult",42,37
"tt10431500","Miracle in Cell No. 7",2019,"Non-Adult",82,77
"tt10432682","Feo pero Sabroso",2019,"Adult",43,41
"tt10456740","Lost Bullet",2020,"Adult",64,73
"tt10477558","Violet Evergarden: Eternity and the Auto Memory Doll",2019,"Non-Adult",75,63
"tt10514222","Ma Rainey's Black Bottom",2020,"Adult",69,84
"tt10525174","Narco Soldiers",2019,"Non-Adult",40,38
"tt10525672","Silver Skates",2020,"Adult",71,62
"tt10529644","Copper Bill",2020,"Non-Adult",37,42
"tt10539608","The Midnight Sky",2020,"Non-Adult",57,71
"tt10579992","Mister America",2019,"Adult",64,53
"tt10589914","The Forest of Love",2019,"Adult",62,69
"tt10600398","We Can Be Heroes",2020,"Non-Adult",47,54
"tt10618286","Mank",2020,"Adult",68,74
"tt10627584","The Life Ahead",2020,"Non-Adult",68,82
"tt10637682","The Panti Sisters",2019,"Non-Adult",57,46
"tt10642834","The Forty-Year-Old Version",2020,"Adult",72,64
"tt10649016","Safety",2020,"Non-Adult",68,61
"tt10682266","Hubie Halloween",2020,"Non-Adult",53,63
"tt1070874","The Trial of the Chicago 7",2020,"Adult",77,92
"tt10709060","Game Over",2019,"Non-Adult",61,74
"tt10711654","Most Likely to Succeed",2019,"Non-Adult",70,47
"tt10714856","Feel the Beat",2020,"Non-Adult",63,62
"tt10715194","Back to School",2019,"Adult",53,49
"tt1072748","Winchester",2018,"Non-Adult",55,65
"tt10728764","Nobody Knows I'm Here",2020,"Adult",65,74
"tt10731386","Audrey",2020,"Non-Adult",71,61
"tt10773090","Sarileru Neekevvaru",2020,"Non-Adult",58,56
"tt10773114","One Day We'll Talk About Today",2020,"Non-Adult",73,53
"tt10773606","Kalek Shanab",2019,"Non-Adult",49,37
"tt10798660","Wish Upon a Unicorn",2020,"Non-Adult",53,47
"tt10816484","18 Presents",2020,"Adult",69,67
"tt10845262","Miracle in Cell No. 7",2019,"Non-Adult",75,77
"tt10851618","Rising Phoenix",2020,"Non-Adult",81,67
"tt10856726","Travis Scott: Look Mom I Can Fly",2019,"Adult",63,55
"tt1086064","Bill & Ted Face the Music",2020,"Non-Adult",59,72
"tt10883004","Bikram: Yogi, Guru, Predator",2019,"Adult",67,75
"tt10886166","365 Days",2020,"Adult",33,59
"tt10895610","Float",2019,"Non-Adult",69,60
"tt10915286","Tell Me Who I Am",2019,"Adult",76,89
"tt10920190","Righteous Villains",2020,"Adult",33,40
"tt10933680","Debt Collectors",2020,"Adult",58,56
"tt10941528","Under the Riccione Sun",2020,"Adult",56,49
"tt10958282","Street Flow",2019,"Adult",64,42
"tt10984818","Alelí",2019,"Adult",63,46
"tt10994688","The Binge",2020,"Adult",53,62
"tt11005162","Elevator Baby",2019,"Adult",55,39
"tt11007024","Border",2018,"Adult",72,68
"tt11010144","Seriously Single",2020,"Adult",46,50
"tt11044122","Never Surrender: A Galaxy Quest Documentary",2019,"Non-Adult",77,61
"tt11057594","Fatal Affair",2020,"Non-Adult",46,46
"tt11057644","The Christmas Chronicles: Part Two",2020,"Non-Adult",60,64
"tt11057912","Tuna Girl",2019,"Non-Adult",62,41
"tt11101550","Tales of Found Footage",2019,"Adult",36,38
"tt11127690","The Paramedic",2020,"Adult",57,62
"tt11156614","Dead Kids",2019,"Adult",54,49
"tt11161474","Pieces of a Woman",2020,"Adult",70,88
"tt11199410","The Princess Switch: Switched Again",2020,"Non-Adult",55,57
"tt1124037","Free State of Jones",2016,"Adult",69,72
"tt11240506","Nobody Sleeps in the Woods Tonight",2020,"Adult",49,59
"tt11242218","Books of Blood",2020,"Adult",56,60
"tt11276598","Pets United",2019,"Non-Adult",37,50
"tt11284280","Cadaver",2020,"Adult",52,56
"tt11327514","Uncle Frank",2020,"Adult",73,69
"tt8765496","May the Devil Take You",2018,"Adult",59,70
"tt8769848","The Tomorrow Man",2019,"Non-Adult",59,54
"tt8772262","Midsommar",2019,"Adult",71,80
"tt8774798","100% Wolf",2020,"Non-Adult",57,59
"tt8783532","School Life",2019,"Adult",65,56
"tt8784956","Ava",2020,"Adult",55,70
"tt8809652","10 Minutes Gone",2019,"Adult",37,51
"tt8820590","T-34",2018,"Non-Adult",68,65
"tt8841972","The Blackout",2019,"Adult",53,66
"tt8851668","The Lovebirds",2020,"Adult",61,66
"tt8856470","Pokémon: Mewtwo Strikes Back - Evolution",2019,"Non-Adult",57,58
"tt8858104","Guava Island",2019,"Adult",67,64
"tt8858420","Women of Mafia 2",2019,"Adult",38,45
"tt8861786","Puppy Star Christmas",2018,"Non-Adult",38,35
"tt8875940","Four Enchanted Sisters",2020,"Non-Adult",48,42
"tt8902948","Tigertail",2020,"Non-Adult",66,56
"tt8902978","Wander Darkly",2020,"Adult",58,55
"tt8908002","Luka Chuppi",2019,"Non-Adult",64,60
"tt8914492","Game Over",2019,"Non-Adult",69,74
"tt8917752","Joy",2018,"Adult",66,57
"tt8923482","One Child Nation",2019,"Adult",75,84
"tt8925540","Racetime",2018,"Non-Adult",56,48
"tt8936646","Extraction",2020,"Adult",68,87
"tt8946378","Knives Out",2019,"Non-Adult",79,85
"tt8949056","Yes, God, Yes",2019,"Adult",61,65
"tt8951058","The Panama Papers",2018,"Non-Adult",71,58
"tt8954732","The Princess Switch",2018,"Non-Adult",61,63
"tt8972556","I Am Vengeance: Retaliation",2020,"Adult",35,45
"tt8976576","Vampires vs. the Bronx",2020,"Non-Adult",57,59
"tt8976710","Sextuplets",2019,"Non-Adult",45,55
"tt8983164","Chhalaang",2020,"Non-Adult",66,58
"tt8983240","Laatu",2018,"Non-Adult",67,39
"tt8988748","Seventeen",2019,"Adult",72,60
"tt8997712","Broil",2020,"Non-Adult",46,53
"tt9010900","Boi",2019,"Adult",51,45
"tt9014248","Mutiny of the Worker Bees",2020,"Adult",42,44
"tt9026184","Girl on the Third Floor",2019,"Adult",47,57
"tt9032888","Good Sam",2019,"Non-Adult",58,46
"tt9056818","Last Breath",2019,"Adult",76,65
"tt9063902","Live Twice, Love Once",2019,"Adult",72,71
"tt9068272","First Lady",2020,"Non-Adult",40,36
"tt9086228","Gretel & Hansel",2020,"Non-Adult",55,65
"tt9100028","The Little Switzerland",2019,"Non-Adult",49,45
"tt9109976","Psycho",2020,"Adult",62,54
"tt9115528","Never Too Late",2020,"Non-Adult",60,48
"tt9139586","Arkansas",2020,"Adult",61,63
"tt9149946","Bernie the Dolphin 2",2019,"Non-Adult",46,42
"tt9150970","Despite Everything",2019,"Adult",54,50
"tt9176296","Dolly Kitty and Those Twinkling Stars",2019,"Adult",52,49
"tt9204088","Dog Days",2018,"Non-Adult",52,60
"tt9204164","Bigfoot Family",2020,"Non-Adult",58,56
"tt9219848","Elon Musk: The Real Life Iron Man",2018,"Non-Adult",60,51
"tt9239888","The Ruthless",2019,"Adult",62,55
"tt9252508","Tall Girl",2019,"Non-Adult",52,57
"tt9253926","The Curse of Hobbes House",2020,"Adult",34,41
"tt9257932","Animal World",2018,"Adult",64,61
"tt9261218","Uncorked",2020,"Non-Adult",64,75
"tt9264728","What Lies Below",2020,"Adult",44,56
"tt9270416","Fantastica",2018,"Non-Adult",38,44
"tt9310328","Altered Carbon: Resleeved",2020,"Adult",64,61
"tt9316022","Struggle: The Life and Lost Art of Szukalski",2018,"Adult",79,67
"tt9326056","Sea of Shadows",2019,"Non-Adult",73,56
"tt9345754","The Occupant",2020,"Adult",64,67
"tt9351980","American Factory",2019,"Non-Adult",74,86
"tt9354842","To All the Boys: P.S. I Still Love You",2020,"Non-Adult",61,68
"tt9358044","Hail Satan?",2019,"Adult",73,63
"tt9358052","Knock Down the House",2019,"Non-Adult",74,73
"tt9358206","Toni Morrison: The Pieces I Am",2019,"Non-Adult",78,52
"tt9395384","One Great Love",2018,"Non-Adult",61,44
"tt9398640","Between Two Ferns: The Movie",2019,"Adult",61,74
"tt9411866","The Roads Not Taken",2020,"Adult",53,53
"tt9412098","Fyre",2019,"Adult",72,91
"tt9412268","Furie",2019,"Adult",63,63
"tt9419834","Secret Obsession",2019,"Non-Adult",45,52
"tt9426186","Revenger",2018,"Adult",57,56
"tt9441638","The Big Ugly",2020,"Adult",52,53
"tt9465600","3022",2019,"Adult",45,57
"tt9484998","Palm Springs",2020,"Adult",74,79
"tt9495224","Black Mirror: Bandersnatch",2018,"Adult",71,75
"tt9506474","The Hater",2020,"Adult",71,83
"tt9537292","Ala Vaikunthapurramuloo",2020,"Non-Adult",73,62
"tt9564774","Venky Mama",2019,"Non-Adult",55,49
"tt9567112","A Kid from Coney Island",2019,"Adult",70,51
"tt9577334","Red Dog",2019,"Adult",69,51
"tt9600932","The Brink",2019,"Adult",64,51
"tt9612368","An English Haunting",2020,"Non-Adult",43,45
"tt9613244","Autonomy",2019,"Non-Adult",65,46
"tt9617716","Everybody's Everything",2019,"Adult",75,63
"tt9617782","Who Let the Dogs Out",2019,"Non-Adult",71,44
"tt9619798","The Wrong Missy",2020,"Adult",58,70
"tt9624766","Jiu Jitsu",2020,"Adult",29,56
"tt9632590","An Easy Girl",2019,"Adult",56,70
"tt9636630","Home Sweet Home",2020,"Non-Adult",48,47
"tt9646240","The Man Without Gravity",2019,"Non-Adult",58,58
"tt9647980","Patria",2019,"Adult",71,46
"tt9660688","Black Beach",2020,"Adult",56,51
"tt9683478","The Half of It",2020,"Non-Adult",69,89
"tt9689696","Wander",2020,"Adult",49,59
"tt9708358","Uncle Tom",2020,"Non-Adult",82,69
"tt9735350","Rebuilding Paradise",2020,"Non-Adult",69,57
"tt9735758","Get Duked!",2019,"Adult",62,73
"tt9735976","Wheels of Fortune",2020,"Adult",55,45
"tt9738716","The World to Come",2020,"Adult",64,65
"tt9760504","NiNoKuni",2019,"Non-Adult",61,53
"tt9777644","Da 5 Bloods",2020,"Adult",65,70
"tt9777830","John Leguizamo's Latin History for Morons",2018,"Non-Adult",74,76
"tt9778348","The Winter Lake",2020,"Adult",47,50
"tt9779290","By Night's End",2020,"Adult",45,43
"tt9779516","I Still Believe",2020,"Non-Adult",65,64
"tt9794630","The Vanished",2020,"Adult",57,60
"tt9799984","Falaknuma Das",2019,"Adult",63,52
"tt9806192","I Lost My Body",2019,"Adult",75,89
"tt9806322","Isi & Ossi",2020,"Adult",64,62
"tt9809140","All the Freckles in the World",2019,"Non-Adult",51,46
"tt9810420","A Second Chance: Rivals!",2019,"Non-Adult",49,48
"tt9815998","Hooking Up",2020,"Adult",56,55
"tt9820352","Villain",2020,"Adult",59,52
"tt9827834","Sylvie's Love",2020,"Non-Adult",68,78
"tt9844368","Out of Liberty",2019,"Non-Adult",46,45
"tt9860728","Falling Inn Love",2019,"Non-Adult",57,62
"tt9898858","Coffee & Kareem",2020,"Adult",52,51
"tt9902160","Herself",2020,"Adult",70,61
"tt9916362","Coven",2020,"Adult",64,58
"tt4466894","Sahara",2017,"Non-Adult",55,53
"tt4486728","Saved by Grace",2016,"Non-Adult",58,45
"tt4489160","You're My Boss",2015,"Non-Adult",63,51
"tt4497338","Interrogation",2016,"Adult",49,50
"tt4499228","Gehenna: Where Death Lives",2016,"Adult",49,50
"tt4500196","Two Wrongs",2015,"Non-Adult",73,44
"tt4503906","Pokémon the Movie: Hoopa and the Clash of Ages",2015,"Non-Adult",59,55
"tt4513674","Café Society",2016,"Non-Adult",66,69
"tt4518260","Albion: The Enchanted Stallion",2016,"Non-Adult",53,51
"tt4520988","Frozen II",2019,"Non-Adult",68,78
"tt4528386","¡Asu Mare! 2",2015,"Adult",56,41
"tt4532818","Sophie and the Rising Sun",2016,"Adult",67,52
"tt4535650","Dilwale",2015,"Non-Adult",51,57
"tt4540710","Miss Sloane",2016,"Adult",75,76
"tt4550098","Nocturnal Animals",2016,"Adult",74,81
"tt4550420","My Blind Brother",2016,"Adult",61,56
"tt4559006","Ae Dil Hai Mushkil",2016,"Non-Adult",59,59
"tt4560008","This Beautiful Fantastic",2016,"Non-Adult",69,65
"tt4560436","Mile 22",2018,"Adult",61,72
"tt4565520","The Layover",2017,"Adult",48,59
"tt4569494","No Place to Hide: The Rehtaeh Parsons Story",2015,"Non-Adult",74,45
"tt4572792","The Book of Henry",2017,"Non-Adult",66,70
"tt4573516","Sleight",2016,"Adult",59,63
"tt4575576","Christopher Robin",2018,"Non-Adult",72,75
"tt4575782","Prayer Never Fails",2016,"Non-Adult",50,35
"tt4578118","Rupture",2016,"Adult",49,58
"tt4587366","Eliminators",2016,"Adult",56,61
"tt4594834","Chi-Raq",2015,"Adult",59,60
"tt4594836","Darc",2018,"Adult",58,51
"tt4601180","730",2015,"Adult",76,48
"tt4607228","Arctic Heart",2016,"Non-Adult",52,44
"tt4610378","The Resistance Banker",2018,"Adult",69,82
"tt4614612","Peterloo",2018,"Non-Adult",65,60
"tt4616250","The Perfect Weapon",2016,"Non-Adult",29,46
"tt4623856","Wolves",2016,"Adult",57,55
"tt4624424","Storks",2016,"Non-Adult",68,73
"tt4628812","The Breakup Playlist",2015,"Non-Adult",65,39
"tt4629266","Born in China",2016,"Non-Adult",72,60
"tt4630444","Being Charlie",2015,"Adult",62,58
"tt4632316","Gleason",2016,"Adult",83,63
"tt4633690","Shot Caller",2017,"Adult",73,75
"tt4651410","Precious Cargo",2016,"Adult",46,58
"tt4661798","Joshy",2016,"Adult",59,59
"tt4662420","All Nighter",2017,"Adult",58,59
"tt4666726","Christine",2016,"Adult",69,65
"tt4669186","Kevin Hart: What Now?",2016,"Adult",60,62
"tt4669264","Beirut",2018,"Adult",65,66
"tt4669296","Lords of Chaos",2018,"Adult",66,64
"tt4669986","Loving",2016,"Non-Adult",70,70
"tt4677924","Woodshock",2017,"Adult",42,48
"tt4678200","Judge Singh LLB",2015,"Non-Adult",73,44
"tt4682786","Collateral Beauty",2016,"Non-Adult",68,75
"tt4685554","The Snow Queen 3: Fire and Ice",2016,"Non-Adult",60,54
"tt4686108","Love Beats Rhymes",2017,"Adult",55,51
"tt4686844","The Death of Stalin",2017,"Adult",73,75
"tt4686862","Almost Adults",2016,"Non-Adult",56,59
"tt4687108","In the Tall Grass",2019,"Adult",55,66
"tt4693358","OtherLife",2017,"Adult",62,65
"tt4694544","Once Upon a Time in Venice",2017,"Adult",53,63
"tt4695012","It Comes at Night",2017,"Adult",61,72
"tt4698684","Hunt for the Wilderpeople",2016,"Non-Adult",78,80
"tt4703048","6 Days",2017,"Adult",62,65
"tt4712076","The Long Dumb Road",2018,"Adult",61,56
"tt4718728","Gadaar: The Traitor",2015,"Non-Adult",62,41
"tt4729430","Klaus",2019,"Non-Adult",82,78
"tt4733736","Double Daddy",2015,"Non-Adult",58,51
"tt4738360","The Last King",2016,"Adult",61,60
"tt4742274","Forest Fairies",2015,"Non-Adult",57,41
"tt4743226","Air Strike",2018,"Adult",32,50
"tt4758646","War Machine",2017,"Adult",60,69
"tt4762824","The Legacy of a Whitetail Deer Hunter",2018,"Non-Adult",55,56
"tt4763168","Kindergarten Cop 2",2016,"Non-Adult",44,55
"tt4769824","In This Corner of the World",2016,"Non-Adult",78,68
"tt4769836","The Do-Over",2016,"Adult",57,66
"tt4776998","The Promise",2016,"Non-Adult",61,68
"tt4777008","Maleficent: Mistress of Evil",2019,"Non-Adult",66,76
"tt4786282","Lights Out",2016,"Non-Adult",63,74
"tt4796122","Satanic",2016,"Adult",37,51
"tt4797436","Jack Goes Home",2016,"Adult",51,53
"tt4799064","Mindhorn",2016,"Adult",63,66
"tt4801232","In Search of Fellini",2017,"Adult",62,53
"tt4807408","The Best of Enemies",2019,"Non-Adult",73,70
"tt4815122","Time Trap",2017,"Adult",62,68
"tt4824302","Mother's Day",2016,"Non-Adult",57,69
"tt4827558","High Life",2018,"Adult",57,68
"tt4837126","Love Everlasting",2016,"Non-Adult",63,54
"tt4838334","The Fight Within",2016,"Non-Adult",44,46
"tt4842270","Beauty and the Bestie",2015,"Non-Adult",48,45
"tt4842646","The Most Hated Woman in America",2017,"Adult",61,55
"tt4844148","Mia and the White Lion",2018,"Non-Adult",65,60
"tt4846232","Good Time",2017,"Adult",73,77
"tt4846340","Hidden Figures",2016,"Non-Adult",78,83
"tt4853102","Batman: The Killing Joke",2016,"Adult",64,70
"tt4855748","XOXO",2016,"Adult",53,57
"tt4857264","The Invisible Guest",2016,"Adult",80,83
"tt4858674","Stargirl",2020,"Non-Adult",62,74
"tt4863386","Camino",2016,"Adult",70,47
"tt4867110","Swiped",2018,"Non-Adult",28,48
"tt4872078","The Intervention",2016,"Adult",60,58
"tt4876036","Olympia",2018,"Non-Adult",63,46
"tt4878482","Dumplin'",2018,"Non-Adult",65,83
"tt4882376","First They Killed My Father",2017,"Adult",72,67
"tt4898730","Temple",2017,"Adult",37,52
"tt4900018","Keith Richards: Under the Influence",2015,"Non-Adult",71,58
"tt4900716","Kapoor & Sons",2016,"Non-Adult",77,84
"tt4902716","Rebirth",2016,"Adult",50,50
"tt4902904","The Resurrection of Gavin Stone",2017,"Non-Adult",63,55
"tt4908644","Winter on Fire: Ukraine's Fight for Freedom",2015,"Non-Adult",83,89
"tt4911288","Danger Close",2017,"Non-Adult",44,44
"tt4911408","Citizen Soldier",2016,"Adult",59,51
"tt4911996","Goldstone",2016,"Adult",66,61
"tt4924942","The Invisible Guardian",2017,"Non-Adult",64,65
"tt4925292","Lady Bird",2017,"Adult",74,81
"tt4930176","Mercy",2016,"Non-Adult",62,37
"tt4935334","Southbound",2015,"Adult",59,64
"tt4935462","Amazing Grace",2018,"Non-Adult",75,64
"tt4935746","The Darkness",2016,"Non-Adult",56,59
"tt4936176","Mascots",2016,"Adult",58,57
"tt4936450","Graduation",2016,"Adult",73,72
"tt4940416","Duck Duck Goose",2018,"Non-Adult",58,53
"tt4943322","The Ottoman Lieutenant",2017,"Adult",64,64
"tt4944352","Heneral Luna",2015,"Adult",73,63
"tt4947738","Spirit of the Game",2016,"Non-Adult",53,42
"tt4948040","Emma's Chance",2016,"Non-Adult",61,51
"tt4952376","Brothers",2015,"Non-Adult",74,54
"tt4971344","The Sisters Brothers",2018,"Adult",69,72
"tt4971408","Await Further Instructions",2018,"Adult",49,56
"tt4971824","Very Big Shot",2015,"Adult",69,53
"tt4972062","Don't Think Twice",2016,"Adult",67,66
"tt4974684","Kara Bela",2015,"Non-Adult",67,52
"tt4975920","The Kid",2019,"Adult",59,62
"tt4978274","Priceless",2016,"Non-Adult",61,59
"tt4981636","Middle School: The Worst Years of My Life",2016,"Non-Adult",61,62
"tt4984868","Faraar",2015,"Non-Adult",54,38
"tt4986098","The Titan",2018,"Adult",48,63
"tt4986134","Rebel in the Rye",2017,"Non-Adult",67,66
"tt4995776","The Red Sea Diving Resort",2019,"Adult",66,75
"tt5000698","Marriage of Lies",2016,"Non-Adult",50,45
"tt5001754","Braven",2018,"Adult",59,82
"tt5007774","A Box of Faith",2015,"Non-Adult",62,33
"tt5013782","Change in the Air",2018,"Non-Adult",58,47
"tt5022702","Hush",2016,"Adult",66,73
"tt5026484","Needhi Singh",2016,"Non-Adult",54,39
"tt5028340","Mary Poppins Returns",2018,"Non-Adult",66,73
"tt5034122","Cruise",2018,"Adult",54,52
"tt5034266","Our Souls at Night",2017,"Non-Adult",69,65
"tt5036924","The CEO",2016,"Non-Adult",58,37
"tt5037840","Drunk Parents",2019,"Adult",40,54
"tt5061570","Hostile Border",2015,"Adult",55,46
"tt5071886","Kabali",2016,"Adult",61,65
"tt5074352","Dangal",2016,"Non-Adult",83,97
"tt5074552","Saadey CM Saab",2016,"Non-Adult",54,37
"tt5076150","Doubting Thomas",2018,"Adult",51,45
"tt5080254","What the Jatt!!",2015,"Non-Adult",52,32
"tt5085924","Wildling",2018,"Adult",55,62
"tt5093026","Papillon",2017,"Adult",72,75
"tt5094192","Goyo: The Boy General",2018,"Non-Adult",65,51
"tt5095030","Ant-Man and the Wasp",2018,"Non-Adult",70,81
"tt5096470","Love Wedding Repeat",2020,"Adult",56,52
"tt5104604","Isle of Dogs",2018,"Non-Adult",78,80
"tt5108476","Befikre",2016,"Non-Adult",42,50
"tt5112692","Secrets",2017,"Non-Adult",56,42
"tt5114154","The Keeping Hours",2017,"Non-Adult",64,58
"tt5115546","Ghost Team",2016,"Non-Adult",49,50
"tt5116302","Togo",2019,"Non-Adult",79,76
"tt5117484","Frat Star",2017,"Adult",35,41
"tt5122374","Tini: The New Life of Violetta",2016,"Non-Adult",54,50
"tt5126540","Black Box",2020,"Non-Adult",31,61
"tt5128826","The Alchemist Cookbook",2016,"Adult",52,50
"tt5140248","The Beginning of Life",2016,"Non-Adult",74,52
"tt5153236","Hampstead",2017,"Non-Adult",61,59
"tt5155780","The Discovery",2017,"Adult",62,72
"tt5156746","Force 2",2016,"Non-Adult",62,55
"tt5163286","Jeremiah Tower: The Last Magnificent",2016,"Adult",66,50
"tt5168832","After Porn Ends 2",2017,"Adult",55,66
"tt5176486","Grandma's House",2016,"Non-Adult",60,43
"tt5176580","Wild Nights with Emily",2018,"Non-Adult",62,54
"tt5179598","Billionaire Boys Club",2018,"Adult",56,62
"tt5186714","The Salesman",2016,"Non-Adult",77,72
"tt5197544","Baar Baar Dekho",2016,"Non-Adult",54,58
"tt5205210","Strange Weather",2016,"Adult",60,51
"tt5206260","The Willoughbys",2020,"Non-Adult",64,80
"tt5207116","X: Past Is Present",2015,"Non-Adult",52,43
"tt5207846","The First Secret City",2015,"Non-Adult",74,43
"tt5208216","Wonderstruck",2017,"Non-Adult",62,63
"tt5208252","Operation Finale",2018,"Non-Adult",66,69
"tt5215952","The Wailing",2016,"Adult",74,75
"tt5222768","White Fang",2018,"Non-Adult",69,76
"tt5224012","Kiss and Cry",2017,"Non-Adult",67,44
"tt5246700","How It Ends",2018,"Adult",51,60
"tt5246902","Blood Brother",2018,"Adult",45,50
"tt5247022","Paterson",2016,"Adult",73,73
"tt5254610","Final Score",2018,"Adult",58,61
"tt5259822","Tesla",2020,"Non-Adult",51,59
"tt5260026","The Wedding Party",2016,"Non-Adult",50,54
"tt5266668","Rogue Warfare",2019,"Adult",29,44
"tt5267472","Step Sisters",2018,"Non-Adult",55,57
"tt5268348","Generation Wealth",2018,"Adult",67,57
"tt5275828","Lo and Behold: Reveries of the Connected World",2016,"Non-Adult",70,64
"tt5275866","Norman Lear: Just Another Version of You",2016,"Non-Adult",73,49
"tt5278462","Author: The JT LeRoy Story",2016,"Adult",71,68
"tt5278506","Tickled",2016,"Adult",74,70
"tt5281700","Heartbeats",2017,"Non-Adult",54,47
"tt5294518","Eli",2019,"Adult",58,64
"tt5297578","Zindagi Kitni Haseen Hay",2016,"Non-Adult",56,49
"tt5304992","Set It Up",2018,"Non-Adult",65,69
"tt5305246","93 Days",2016,"Non-Adult",61,53
"tt5316540","Close",2019,"Adult",57,65
"tt5317732","The Little Prince",2015,"Non-Adult",80,74
"tt5323662","A Silent Voice: The Movie",2016,"Non-Adult",82,78
"tt5325684","Hate Story IV",2018,"Adult",34,41
"tt5330986","Wild Prairie Rose",2016,"Non-Adult",68,40
"tt5335314","One Step Behind the Seraphim",2017,"Non-Adult",81,63
"tt5339586","Mike Epps: Don't Take It Personal",2015,"Adult",45,40
"tt5340882","Zoombies",2016,"Non-Adult",34,48
