movie_id,title,year,genres,imdb_rating
tt10066526,The Wedding Shaman,2019,"Drama,Romance",6.8
tt10066756,The Happiest Man on Earth,2019,Documentary,7.1
tt10068158,Made in Abyss: Journey's Dawn,2019,"Adventure,Animation,Family",7.4
tt10068544,Made in Abyss: Wandering Twilight,2019,"Adventure,Animation,Fantasy",7.8
tt10068916,Made in Abyss: Dawn of the Deep Soul,2020,"Adventure,Animation,Drama",8.0
tt10070730,Rise of the Machine Girls,2019,"Action,Fantasy,Sci-Fi",4.9
tt10071352,The Mountain Minor,2019,Drama,6.6
tt10071462,Bunker of Blood 07: Killjoys Carnage Caravan,2019,Horror,3.1
tt10073008,The Shadow of Gold,2019,Documentary,6.9
tt10073018,The Game,2019,Horror,6.0
tt10073452,As Far as I Know,2020,Drama,7.0
tt10073510,Once in a Hundred Years: The Life and Legacy of Marian Anderson,2019,Documentary,8.6
tt10073928,Diaries of a Sugar Baby,2019,Documentary,3.1
tt10074426,Last Fool Show,2019,"Comedy,Drama,Romance",7.1
tt10074486,Vortex,2019,Drama,5.9
tt10074536,Liberation,2019,"Drama,War",5.8
tt10075070,Os Jovens Baumann,2018,Family,6.1
tt10075442,Classic Again,2020,"Drama,Romance",6.9
tt10075536,Sherlock Holmes and the Great Escape,2019,"Adventure,Animation,Comedy",6.2
tt10075604,"Taxi, What's Your Name?",2016,"Comedy,Drama,Romance",5.3
tt10075732,The Four Levels of Existence,2019,"Documentary,Music",8.2
tt10075830,M for Malaysia,2019,Documentary,5.4
tt10075944,Bazaar Encounters,2019,Documentary,4.7
tt10076106,Manmadhudu 2,2019,"Comedy,Drama,Romance",4.7
tt10076722,We Are Legends,2019,Action,5.2
tt10077042,Single & Ready,2019,Romance,6.0
tt10077544,Rosa's Wedding,2020,Comedy,6.4
tt10077706,Meathook Massacre: The Final Chapter,2019,Horror,5.3
tt10077856,Beyond the Fear of Singing,2019,"Documentary,Music",9.4
tt10077998,The Unknown Saint,2019,"Comedy,Crime",6.5
tt10078138,11 Hopes,2018,"Drama,Sport",6.7
tt10078206,VHS Violence II: VHS and KILL,2020,Horror,1.4
tt10078290,The Spy Behind Home Plate,2019,Documentary,6.8
tt10078502,Stars in the Sky: A Hunting Story,2018,Documentary,7.2
tt10078664,Moon of the Blood Beast,2019,Horror,3.9
tt10078676,49 Days 2,2017,"Comedy,Drama,Romance",4.7
tt10078764,Until You,2016,"Comedy,Drama,Romance",4.2
tt10078822,Here Comes the Sun,2018,"Drama,Family",6.4
tt10078834,Wrestled Away: The Lee Kemp Story,2019,"Documentary,Sport",7.4
tt10078894,Deadly Playthings,2019,Horror,2.8
tt10079028,Celluloid Slaughter,2020,Horror,2.8
tt10079398,Legends Never Die: The Sandlot Story,2018,Documentary,8.9
tt10079448,In a Silent Way,2020,Comedy,7.4
tt10079698,Attack in LA,2018,Action,5.2
tt10080052,Liza's Tale,2019,Drama,7.3
tt10080092,Wild Grass,2020,"Drama,Romance",4.8
tt10080270,Killing Sarai,2019,"Romance,Thriller",5.8
tt10080924,Sweater,2019,Drama,7.2
tt10081104,Gidarh Singhi,2019,Comedy,5.8
tt10081116,Kobbari Matta,2019,Comedy,5.3
tt10081154,Maanasi,2019,Drama,5.2
tt10081172,15 Lakh Kado Aauga,2019,Comedy,6.7
tt10081202,Evvarikee Cheppoddu,2019,Drama,7.1
tt10081210,Aaviri,2019,"Drama,Thriller",3.4
tt10081238,Malli Malli Chusa,2019,Drama,4.6
tt10081402,Tandav,2019,Drama,1.8
tt10081546,A Lifetime of Sundays,2019,Documentary,8.7
tt10081596,Flat Earth: To the Edge and Back,2019,Comedy,4.1
tt10081728,Santamaria,2019,"Mystery,Sci-Fi",5.8
tt10081762,Breaking Surface,2020,"Adventure,Drama,Horror",6.1
tt10081788,Paradise,2020,Drama,5.0
tt10082356,Dreams from the Outback,2019,Documentary,7.2
tt10084190,Chandigarh Amritsar Chandigarh,2019,"Comedy,Drama,Romance",6.2
tt10084688,Auerhaus,2019,"Comedy,Drama,Romance",6.2
tt10084752,American Relapse,2018,Documentary,7.4
tt10085296,Light Years,2019,Adventure,5.7
tt10085338,Blood on Her Name,2019,"Action,Crime,Drama",5.7
tt10085648,Vourate Geitonoi,2019,Comedy,5.8
tt10086502,Scent of My Daughter,2019,Drama,5.3
tt10086648,Shadowfall,2019,Drama,5.2
tt10086692,The Blade of Storm,2019,"Action,Adventure,History",7.4
tt10086784,John Light,2019,Drama,5.5
tt10086834,The Exigency,2019,"Action,Adventure,Animation",6.5
tt10086930,Impossible to Imagine,2019,"Drama,Romance",6.7
tt10087134,Jack & Daniel,2019,"Action,Thriller",4.7
tt10087448,Keep Calm and Snap,2019,Comedy,5.0
tt10088006,Khalid: Free Spirit,2019,Drama,6.6
tt10089152,Bed of Thorns,2019,Drama,6.9
tt10090744,Raia 4,2019,"Drama,Sport",6.2
tt10091268,Lock & Key,2019,Action,5.3
tt10091530,Holiday Rush,2019,"Comedy,Drama,Family",5.0
tt10091696,Dybbuk Box: The Story of Chris Chambers,2019,Horror,4.2
tt10092736,Mimicry Freaks,2019,"Horror,Mystery,Thriller",5.2
tt10092752,Earth and Blood,2020,"Action,Drama,Thriller",5.2
tt10092860,If I Were You,2019,"Comedy,Drama",7.5
tt10095262,Fall Nights in China Grove,2020,Crime,7.5
tt10095276,Serviced,2019,Documentary,5.2
tt10095308,Pink Skies Ahead,2020,"Comedy,Drama",6.2
tt10095336,Our Godfather,2019,"Biography,Crime,Documentary",6.8
tt10095498,Get Real,2019,Drama,8.6
tt10096422,Watch Movie Free Online,2019,"Action,Adventure,Animation",7.1
tt10096424,Sono solo fantasmi,2019,Comedy,4.9
tt10097086,"Where Are You, Adam?",2019,"Biography,Documentary,Drama",8.1
tt10097346,Stars Await Us,2020,Drama,6.5
tt10097364,Send Me to the Clouds,2019,"Drama,Romance",6.3
tt10097436,The Eleventh Chapter,2019,"Comedy,Drama",6.8
tt10097470,Love Song 1980,2020,Drama,8.4
tt10097484,Monster Run,2020,"Action,Drama,Fantasy",5.1
tt10097530,The Guilty Ones,2019,"Crime,Drama,Mystery",5.5
tt10097544,Super Me,2019,"Drama,Fantasy,Mystery",5.8
tt10097816,Stranded,2019,"Drama,Romance",5.8
tt10097832,Over Again,2019,"Drama,Fantasy",6.7
tt10097954,Quest for Real Immunity,2018,Documentary,8.2
tt10097958,Gripped: Climbing the Killer Pillar,2020,"Action,Adventure",5.2
tt10098042,Sunray,2020,"Drama,War",5.3
tt10098048,Can Art Stop a Bullet: William Kelly's Big Picture,2020,"Documentary,History",8.1
tt10098112,Bad Class,2015,Drama,3.9
tt10098374,The Twins,2019,"Drama,Mystery,Romance",4.1
tt10098398,Blind and Battered,2019,Documentary,7.9
tt10098442,The Other,2020,Drama,6.1
tt10098494,Guilt by Design,2019,"Action,Crime",6.0
tt10100664,Iliza Shlesinger: Over & Over,2019,Documentary,6.3
tt10100842,William Tecumseh Sherman: Beyond the March to the Sea,2019,Documentary,6.8
tt10100966,Griekwastad,2019,Crime,7.0
tt10101054,Ab Negative,2019,Action,4.6
tt10101246,"Ok, está bien...",2020,Comedy,7.0
tt10101666,Redeeming Uncle Tom: The Josiah Henson Story,2019,Documentary,8.0
tt10101782,Foodiverse,2019,"Animation,Family",5.6
tt10101806,Illegal Woman,2020,Drama,6.2
tt10101810,#HatersMakeMeFamous,2019,Documentary,7.7
tt10101846,One Night,2019,"Drama,Family",6.6
tt10102182,Tutor: Secret Lesson on Tasty Sex,2017,Romance,5.4
tt10102192,Nadhoo Khan,2019,Drama,5.3
tt10102306,Thee Debauchery Ball,2019,Documentary,7.4
tt10102328,Adhyaksha In America,2019,Comedy,6.4
tt10102350,2 Fingers Honey,2019,Comedy,4.0
tt10102402,The Campaign,2020,"Comedy,Drama",6.4
tt10102408,Vremeto e nashe,2018,Drama,4.3
tt1010248,Return of the Atom,2015,Documentary,5.9
tt10103028,Blindfire,2020,"Crime,Drama,Mystery",4.9
tt10104502,Psycho Ape!,2020,"Comedy,Horror",6.0
tt10106082,Conversaciones,2020,"Comedy,Drama,Mystery",6.5
tt10106416,Honor Project Documentary,2019,Documentary,9.6
